Sushi By Boū - NoMad|sushi-by-bo%C5%AB-nomad-new-york-3||Sasha L.|-5frn6UFSArljwxZyGCYmg|1058|111|||"
        4/13/2019
    "|1
Sushi By Boū - NoMad|sushi-by-bo%C5%AB-nomad-new-york-3||Sasha L.|-5frn6UFSArljwxZyGCYmg|1058|111|||"
        4/13/2019
    "|1
Sushi By Boū - NoMad|sushi-by-bo%C5%AB-nomad-new-york-3||Maki P.|eOVaYbBUvEYjj_t0oKOB_Q||||If you want to eat fresh sushi and want to have fan this is the place you have to try  original drinks are soooooo good delicious excellent sushi restaurant in the city !!  観光で来られた方ぜひ今話題のこの寿司レストランに行ってみてください。みんなフレンドリーで楽しいお店でした。店内もnyらしい内装でとってもユニークでした。お寿司も新鮮ですしオリジナルカクテルも最高！！！是非行ってみてください！|"
        3/26/2019
    "|0
Sushi By Boū - NoMad|sushi-by-bo%C5%AB-nomad-new-york-3||Yuki M.|McYGJIM8tRux1s95fXkfsQ|||||"
        3/26/2019
    "|0
Sushi By Boū - NoMad|sushi-by-bo%C5%AB-nomad-new-york-3||Mike S.|kkZmJ5cdNBZ2axNlA2_qBQ||||This review has been removed for violating our Terms of Service|"
        3/1/2019
    "|0
Sushi By Boū - NoMad|sushi-by-bo%C5%AB-nomad-new-york-3||Mike S.|kkZmJ5cdNBZ2axNlA2_qBQ||||This review has been removed for violating our Terms of Service|"
        1/14/2019
    "|0
Mercado Little Spain|mercado-little-spain-new-york||Frank M.|iJhSisJrY1A4o3gE0lX9nw|278|10|||"
        4/9/2019
    "|1
Mercado Little Spain|mercado-little-spain-new-york||Frank M.|iJhSisJrY1A4o3gE0lX9nw|278|10|||"
        4/9/2019
    "|1
Mercado Little Spain|mercado-little-spain-new-york||Marcus A.|O4-4mrZrgL-wqIqtUtE9yg||||Cute very cute.  Mussels and seafood was excellent. Pan con tomate for 10 dollars NO. I get that in Spain as leftover bread with tomatoes  I asked for half dozen of churros they charged me for 12.  Ok I get it soft opening. They still cannot get it together.  People were upset due sitting issues. I get it they are new.  I m from Los Angeles and we go to the Bazar often. Jose is always flashing and fake smiling saying hello to people is the show is Los Angeles.  I saw Jose next to me and I said.  You did a great job looks beautiful here. He responded looking at me like a peasant putting his hand in my face like I wanted to ask for an autograph or something lol. He was so rude and acid then I saw him yelling at a chef in front of us at the bar while I was enjoying my calamari mussels and 10 dollar bread lol.  So Jose. Don't be a jerk i don't even get rude attitude from real top chefs.  In LA you are shiny and fake,  be consistent your staff is lovely remember you are a still an immigrant who came to the country and we pay for your bills so be kind to your guest   We  ll be back on Saturday night Only because the food was good and the server was amazing. I might consider changing this review when you change your petty attitude|"
        4/4/2019
    "|0
Mercado Little Spain|mercado-little-spain-new-york||Katie J.|7c77mYqE7Gct_2MK1nCeHg||||Cute very cute.  Mussels and seafood was excellent. Pan con tomate for 10 dollars NO. I get that in Spain as leftover bread with tomatoes  I asked for half dozen of churros they charged me for 12.  Ok I get it soft opening. They still cannot get it together.  People were upset due sitting issues. I get it they are new.  I m from Los Angeles and we go to the Bazar often. Jose is always flashing and fake smiling saying hello to people is the show is Los Angeles.  I saw Jose next to me and I said.  You did a great job looks beautiful here. He responded looking at me like a peasant putting his hand in my face like I wanted to ask for an autograph or something lol. He was so rude and acid then I saw him yelling at a chef in front of us at the bar while I was enjoying my calamari mussels and 10 dollar bread lol.  So Jose. Don't be a jerk i don't even get rude attitude from real top chefs.  In LA you are shiny and fake,  be consistent your staff is lovely remember you are a still an immigrant who came to the country and we pay for your bills so be kind to your guest   We  ll be back on Saturday night Only because the food was good and the server was amazing. I might consider changing this review when you change your petty attitude|"
        4/3/2019
    "|0
Mercado Little Spain|mercado-little-spain-new-york||Aris J.|I62vKfKv_NwUgcplSnbdyg||||Very poor seating, and uber bigotry among top management, needs to be friendlier and better ran...|"
        3/28/2019
    "|0
Mercado Little Spain|mercado-little-spain-new-york||Lilly K.|eSTmybl_7HL7kswSNHc-Ew||||While the food met its expectations, the decor in line with a Spanish theme food court.  The wine bar next to La Barra served the red wine Hot!  Why the temperature of the wine serve didn't seem to be as important as have the correct garnishes for the drinks, traditional street drinks like a Calimocho or vino con gassosa. The bartender refused to serve these commonly order drinks due to the lack of garnishes, they could of refused the hot Wine because it didn't meet the temperature standards. . FYI a Calimotxo is red wine with coke, in Spain no one adds garnishes and vino con gassosa is just that wine with a Spanish similarity 7up.|"
        3/31/2019
    "|0
Momofuku Nishi|momofuku-nishi-new-york||Jessica Y.|OB5lmuMGBrHWxxsz5gA2Qw|243|193|||"
        3/30/2019
    "|1
Momofuku Nishi|momofuku-nishi-new-york||Jessica Y.|OB5lmuMGBrHWxxsz5gA2Qw|243|193|||"
        3/30/2019
    "|1
Momofuku Nishi|momofuku-nishi-new-york||Cindy A.|BqYQGQtYx_ZQM0RgFdsXTQ||||"Oh my God!! what a disaster!!Dinner appointment was @7:45 so we got there by 7:25. Half of restaurant was empty but the host asked us wait in tiny 2 seat waiting area. At 7:49, I asked him about our table,host asked "" ur appointment is 7:45, correct??"" I said yes. He looked at me and walked away at 7:50. Finally we got the table at 8:05. Ordered persimmon as appetizer which was horrible. Plaster, whole wheat Chitarra was very poor , roast port served with pea shoots which was burned, pork was very fatty. It took 45 min to serve horrible food, ruined our evening."|"
        12/19/2018
    "|0
Momofuku Nishi|momofuku-nishi-new-york||Steve M.|T0YJPIknBlGuCHIcTz55uw||||I took a guest to dinner at Momofuku Nishi last night.On the plus side, the textures and flavors were amazing.  Also, the bathrooms were clean.On the other hand, I thought the seating was awful.  You eat on a communal counter-top, sitting on something that looks (and feels) like a wooden crate from Ikea.The prices are not cheap, but the portion sizes were so small that after a three-course meal, I had to go and get a second dinner somewhere else.The dinner was ruined for my guest and me by an obnoxious waitress who kept interrupting our conversations, even after I had asked her not to, and then warned her not to.  Near the end of the main course, she leaned all over me while stepping on my foot, and yanked my plate away from me while I was still actively eating, in spite of my telling her very clearly that she may *not* yet take it away.  If I had not had a guest with me, there would have been an immediate reckoning.So I'm giving a big Fuk-U-Momo to Momofuku Nishi!  Never again!|"
        6/16/2016
    "|0
Momofuku Nishi|momofuku-nishi-new-york||Dorothy K.|3HM-kHmA5WZIA3pymhKBXw||||Mediocre food and service. Experimental menu mixing italian food with Asian cuisine... the gnocchi was a bit too salty for me. The drinks were overpriced and nothing special|"
        3/29/2019
    "|0
Momofuku Nishi|momofuku-nishi-new-york||Purvi N.|UO_liZwwc-fKQ9ghcsYkHg||||Good experience. Should definitely try it once. Food is good but the portions are really small.|"
        1/28/2018
    "|0
Momofuku Nishi|momofuku-nishi-new-york||Maria L.|vaoZ2zJg0RCKyy1cLNJ6Xw||||I was only here for the impossible burger. The impossible burger tastes really good, and the veggie meat tastes like real meat. Really impossible.|"
        8/6/2016
    "|0
Momofuku Nishi|momofuku-nishi-new-york||Evan M.|XHrEWsd_ZMuVhFRbn4qPmw||||Cece e Pepe, must try it. No cheese, tastes like there is! The red snapper appetizer is to die for. My only criticism would be that the seating is a little uncomfortable. But everything I tasted on the menu was delicious!|"
        6/16/2016
    "|0
Momofuku Nishi|momofuku-nishi-new-york||Jude M.|8G6CjXTh6WKyObglxDxkvw||||Momofuku Nishi is a great area eatery managed by friendly, professional individuals who will bring delicious food to your table. In the event you are in the region, go and revel in. In the event you are not in the place, rest assured that there is nothing going on here that warrants a 30-minute commute and/or a 120-minute wait for a table. It is great--it is not magic.|"
        3/7/2016
    "|0
Momofuku Nishi|momofuku-nishi-new-york||Crystal L.|RkloAILf674cw1iVo7zsnQ||||The service here is great and the food was great as well (ordered the sirloin ). I definitely wouldn't mind coming back. Next time I plan on sitting outside with the fire pits. Really relaxing and intimate with dim lights. Loved it !|"
        3/4/2016
    "|0
Momofuku Nishi|momofuku-nishi-new-york||Matt L.|9MKHgyUv7QRbUpSDooaDNg||||Delicious, really interesting flavours, but you pay for it. I am told this is reasonable for NYC, but we were a little surprized. That said, it truly was a really great experience, from the service to the fantastic food.|"
        2/29/2016
    "|0
Momofuku Nishi|momofuku-nishi-new-york||Johnnie W.|f0QbHIHyktXf3KwyUwczDA||||Really good Korean food and comfortable atmosphere. My wife and I frequent this establishment often and are never disappointed. The service is friendly and quick and the menu offers a great variety of choices. The Clams Lisboa is particularly good but we've never been disappointed with anything we have ordered there. The wait can be long at peak hours, but I feel it's well worth it. I'm giving it four stars, because this is New York and five stars should only be reserved for the absolute Best in the city.|"
        2/19/2016
    "|0
Momofuku Nishi|momofuku-nishi-new-york||Gabriella T.|68hn2o3kz5caphoy0N_FaQ||||This review has been removed for violating our Terms of Service|"
        9/2/2017
    "|0
Momofuku Nishi|momofuku-nishi-new-york||Jimmy L.|jBrxParv2yFi5qRK4zCJxg||||This review has been removed for violating our Terms of Service|"
        6/10/2017
    "|0
Momofuku Nishi|momofuku-nishi-new-york||Henry Y.|r8HaC2gfN5jlNpaYNt0C5A||||This review has been removed for violating our Terms of Service|"
        8/1/2016
    "|0
Momofuku Nishi|momofuku-nishi-new-york||Roxanne O.|TElrSXVXrwDk4Czg0Q5meQ||||This review has been removed for violating our Terms of Service|"
        5/7/2017
    "|0
Momofuku Nishi|momofuku-nishi-new-york||Wendy L.|1871c3VJYWX3ogK5OgOCcA||||This review has been removed for violating our Terms of Service|"
        1/3/2017
    "|0
Momofuku Nishi|momofuku-nishi-new-york||Mahan L.|e92sc3LbcHgjEHshdJGLvQ||||This review has been removed for violating our Terms of Service|"
        1/28/2019
    "|0
Momofuku Nishi|momofuku-nishi-new-york||Ai-Mei Z.|asCLg7ENkwGqLuYzqM7pHQ||||This review has been removed for violating our Terms of Service|"
        3/19/2016
    "|0
Momofuku Nishi|momofuku-nishi-new-york||Jen K.|DexF55oIBIAr7tM2EXMeEg||||This review has been removed for violating our Terms of Service|"
        1/18/2016
    "|0
